quote,author,category
"We will be remembered not by how much money we have left in the bank or by how many buildings and cars we owned, but by how many Lives we have touched and Transformed!",RVM,"inspiration, motivation"
Anyone can exist. Most fools do. It takes guts to truly Live.,RVM,"inspiration, motivation"
"Far greater than all the material possessions that I possess, is my Freedom to Choose, my Freedom to Live, and my Freedom to be Happy.",RVM,"inspiration, motivation"
"A no hurts but a broken promise hurts more, Listening to a no is not easy but a shattered wish stabs more! Don't ever promise anything that you will not be able to give, BECAUSE THE HEART BREAKS INTO A ZILLION PIECES WHEN PEOPLE PROMISE BUT DON'T GIVE .",Akanksha Wadhavkar( Motivational poems for starlit souls),"inspiration, motivation, poem, poetry, promise, self-help, self-improvement"
"The whole world is in constant motion. The earth moves, the clouds move, the waves move and we too must move. Move and reach the destination of your choice.",RVM,"inspiration, motivation"
Contentment is the foundation of true Happiness. The Happiness that comes from fulfilling desires can never be permanent.,RVM,"inspiration, motivation"
"I think I need to become perfect all at once, so I keep getting overwhelmed and putting it off. I can't remember the last time that I didn't have something hanging over my head. There are usually about thirty to eighty things. Is that normal? Don't tell me. If it's not, I'm a jerk. If it is, that's super-depressing, and I know I'll just use 'this is normal' as an excuse to procrastinate even more.","Anna Kendrick, Scrappy Little Nobody","anxiety, inspiration, life, motivation, perfect, perfection"
"Do not be obsessed with expensive things.Instead, be obsessed with excellence.Things don't make you excellent.However, excellence will make you expensive.",Janna Cachola,"boss-lady, excellent, goal-digger, goals, greatness, inspire, lead, leaders, millenial, mission, motivation, passion, power-women, purpose, service-excellence-excellence, spark, team-spirit, thought, values-in-life, vision"
"Don’t try to fit me in a box… My life is not one dimensional. I’m the summer breeze and the hurricane… I’m the serene lake and the raging ocean… I’m the gentle poet and the rough warrior… I can build and I can destroy... I can romance and I can ravage... I can be wise and I can be silly... I can and WILL be everything that the length, depth, and breadth of life will allow... KNOW THIS! Your labels don’t limit me… they limit your experience of me. Don’t confuse the two.",Steve Maraboli,"box, experience, inspiration, life, motivation, my-life"
"We weren't born to create excuses, we were born to create excellence.",Janna Cachola,"boss-lady, create, excellence, goal-digger, goals, inspirational, inspire, lead, leadership, motivation, positive-attiude, positivity, power-women, purposeful-living, spark, team-builder, vision"
"For me, the most interesting people seem to have the bumpiest pasts. I prefer to connect with someone who has experienced the struggles, battles, and casualties of life’s journey. There is beauty, wisdom, and truth to be found in the scars.",Steve Maraboli,"inspiration, journey, life, motivation, scars, wisdom"
"I will not play it safe! I want to experience the length, depth, and breadth of life. I'm not just here for the victories... I'm here for the scars.",Steve Maraboli,"inspiration, life, motivation, scars"
What is a Miracle? It is something that was once thought Impossible but became Possible with FAITH.,RVM,"inspiration, motivation"
"Just because you are what you are, where you are, that does not mean you should continue to be there.",RVM,"inspiration, motivation"
"In a corner you condense yourself and cry- in the same corner you caress and kiss. Life is this, something different each time.",Jasleen Kaur Gumber,"cry, crying, happiness, happy, kiss, life, love, motivation, philosophy, sad, sorrow, time"
Simple things make us Happy but we pursue the complicated. We get caught in a maze and Happiness remains a Distant Dream.,RVM,"inspiration, motivation"
Smile and Slay.You have to slay it in life or life will slay you.,Janna Cachola,"attitude, boss, boss-lady, courage, entrepreneur, girl-power, guts, inspiration, leadership, millenial, motivation, power, power-of-thoughts, slay, smile-and-slay, win, winning-women"
"For every can't, there's a can. Cans are worth money, so you'd better start collecting them.","Bianca McCormick-Johnson, ""I'm G.O.O.D."":","inspirational-quotes, inspriration, motivation, motivational-quotes"
"It’s a bet – the more you Give, the more you will Get.",RVM,"inspiration, motivation"
"The meal is hot, but still delicious.Life is hard, but still beautiful.",Yohann Dafeu,"inspirational-quotes, life, life-philosophy, life-quotes, motivation, motivational-quotes"
"We salute the Brain, that made the Plane and the Train…But who made the Brain?",RVM,"inspiration, motivation"
"It is not because of setbacks that most entrepreneurs do not reach the finishing line, but because of a lack of willpower and motivation.",Danny Mekić,"entrepreneur, entrepreneurs, entrepreneurship, finish-line, finishing-line, motivation, setback, setbacks, willpower"
"Don’t surrender your life to a Face, a Farce, a Fence or a Force. Don’t be a Slave, be Brave.",RVM,"inspiration, motivation"
Eyes are the windows to the soul. A smile is the mirror of the heart,Janna Cachola,"dentist, motivation, positive, service, smile, team-builder"
"I will not play it safe!I want to experience the length, depth, and breadth of life. I'm not just here for the victories... I'm here for the scars.",Steve Maraboli,"breadth, depth, inspiration, length, life, motivation, safe, scars, victory"
You have a right to be you. It is a privilege for others to be around you.,"Janna Cachola, Short journey","be-yourself, confidence, motivation, you-matter"
Reinvent Yourself.Redesign Yourself.Reform Yourself.Restore Yourself.and if something is left of you till thenAppreciate Yourself.,Adhish Mazumder,"adhish-mazumder, appreciation-quotes, inspirational, inspirational-quotes, love-quotes, motivation, motivational-quotes, motto-in-life, redesign, reform, reinvent, restore"
You are way awesome than you think you are. Don't forget about your awesomeness today,Janna Cachola,"awesome, confident, motivation, positivity, team-builder"
"For the sun to shine, you gotta have some rain. You need the damn rain.",Khali Raymond,"life, motivation, rain, sun"
"Everyone has the same amount of hours per day, it’s not that you don’t have enough time, it’s that you don’t have a clear focus",Bridget English,"goals-priorities, motivation, procrastination, time-management"
"Decide Your Destination First ,path Will Be Automatically Generated","Deepak Gupta, Inspiring Life: Motivational Quotes That Can Change Your Life","enthusiasm-inspiration, motivation"
"Every good act is like a seed that we sow. We don’t know what it will bear, but it will bear some fruit some day.",RVM,"inspiration, motivation"
"Life is like a storm. At its worst, it's full of blinding fury, rage, and destruction. However, at its best, it is full of striking beauty and wonder.",Tanner Walling,"inspiration, life, motivation, motivational-inspirational, storms, storms-of-life-quotes, weather"
We all know that Hurry is the main cause of Worry. Yet we Hurry and Worry and miss the most beautiful experience called Life.,RVM,"inspiration, motivation"
"If we can teach children to think beyond the five senses, we can raise a generation of leaders that will be able to sustain the future.","Dharmisha Cvetkovic, Who Am I?","children, inspiration, mindfulness, motivation"
"The story of money is very funny. Others burn what we earn. Why not give as we live, so the world will cry when we die.",RVM,"inspiration, motivation"
Be your own Guru.,Abhijit Naskar,"guru, human-consciousness, inspire, inspire-quotes, life-and-living, life-experience, life-lessons, life-philosophy, life-quotes, motivation, motivational-quotes, self, self-help, self-love, self-love-quotes, self-motivation, self-realization, self-respect, truth, truth-of-life, words-of-revelation, words-of-wisdom, words-of-wisdom-inspirational, words-to-inspire-you"
The irony is that we are busy doing many things that don’t matter and we have no time for things that do. Shouldn’t we reverse it?,RVM,"inspiration, motivation"
"Look at yourself—Are your eyes Twinkling? Is your heart Dancing? Are your lips Smiling? If yes, then you are truly enjoying Life.",RVM,"inspiration, motivation"
Stay encouraged and stay motivated! You are greater than you know.,"Kayisha Thomas, Ounce Of Faith And Inspiration","encouragement, inspiration, motivation"
Carrying a grudge in your heart or in your mind is like carrying a bunch of thorns on your body. You are just choosing to prick yourself with it.,RVM,"inspiration, motivation"
Stop your dreams from being dreams by turning them into reality.,"Kayisha Thomas, Ounce Of Faith And Inspiration","encouragement, inspiration, motivation"
"We always think that we are right and we are best, but look at back and if you can see your past the you will be best in future.",viral panchal,"future-quotes, inspirational, inspirational-quotes, life, motivation, motivational-quotes, past-life-quotes, vpquotes"
They always said my books were ass. The next one I wrote told them to kiss it!,Khali Raymond,"inspirational, motivation, perseverance"
There is nothing wrong being different. Being peculiar actually makes you stand out from others.,Martin M. Stupak,"character, different, lgbt-quotes, love, motivation"
Misery can be easily drown within a good tune.,Martin M. Stupak,"motivation, positive-thoughts"
"If size really mattered, the whale, not the shark, would rule the waters.",Matshona Dhliwayo,"life-lesson-quotes, life-lessons-quotations, life-lessons-quote, life-lessons-quotes, life-quotations, life-quote, life-quotes, life-quotes-and-sayings, life-quotes-inspirational-quotes, motivation, motivation-quotes, motivational-quotations, motivational-quote, motivational-quote-of-the-day, motivational-quotes, motivational-quotes-for-women, shark, size, whale"
"I built an idea in my head of the hero I wanted to be, a grab bag of traits from heroes, villains, and side characters. I did not have book role models, I had book blueprints.But there remained a huge gap between the person I wanted to be and the person who I was. This was because no matter how many book blueprints I had, as much as I wanted to make myself the hero of my own life, it didn’t matter as long as I kept telling the story wrong.Nowadays, as a storyteller, I know what the problem was. I had all the elements I needed to tell a good story. But I was telling it the wrong way, so I could never get to the ending I wanted.If you tell yourself you’re a winner, you know what kind of story you’re telling, and you will march toward that... Likewise, if you tell yourself you’re a loser, you’ve made that your story, and you will march toward that instead. The same setbacks could happen in the loser’s story as in the winner’s story, but the self-defined loser would let them be proof that they were never going to be anything.Here’s the story I was telling myself back when I was little edible child waiting to be carried away by hawks and making OCD rituals for herself: once upon a time, there was a girl who was afraid of everything. When I was 16, I realized that I knew what this story looked like and how it ended, and it wasn’t the life I wanted for myself. If I wanted my ending to look different, I needed to change the kind of story I was telling about myself. I needed to shape my events into a different genre: once upon a time, there was a woman who was afraid of nothing. At age 16, I legally changed my name from my birthname — Heidi — to one I thought sounded like the hero I wanted to be: Maggie. And I vowed that I would never be afraid of anything ever again.Did it work? No, of course not. Not right away. But it became a mission statement, my hero’s journey.",Maggie Stiefvater,"hero, life, motivation, story"
"God is an author, and we are His best story.",Cier Galla,"author, god, lessons, life, life-experience, life-quotes, living, living-life, motivation, storytelling"
Recognizing your own progress is a huge part of feeling motivated to do more. Your brain is a great tool for your success. It is hard at work and automating the new things you are doing even when you are taking a break.,Prince Akwarandu,"billionaire-class, hard-work, inspiration, mindset-for-business-success, motivation, skills, successful-people"
"The Sun, the Moon, the Stars, the Birds, the Animals, the Flowers, are all proof that a Universal Power exists.",RVM,"inspiration, motivation"
"In life, some laugh, some cry, some live, some die. The choice is ours to crawl or to fly.",RVM,"inspiration, motivation"
"Hoping is a great Positive emotion and you must HOPE. But remember, you can’t just Hope for Success, you also have to work for it.",RVM,"inspirational, motivation"
"It is ironic that we are particular about flushing out all the dirt through the Drain, but we continue to retain a lot of it in our Brain.",RVM,"inspiration, motivation"
"Waves in an ocean remind us that just as they come and go, we too will. What matters is did we make a good splash before leaving?",RVM,"inspiration, motivation"
"No one ever does anything our of charity,"" Anna went on. ""Every choice we make benefits ourselves directly or indirectly. Even if it looks like a sacrifice, the alternative would be unbearable in some way. If I hadn't helped I wouldn't sleep well , and I need my sleep.","Sara Donati, The Gilded Hour","motivation, sacrifice, sacrifice-for-gain"
"Don't expect people to always understand you. Instead, learn to understand them. Then Accept, Forgive & Love unconditionally. This is a sure way to be Happy.",RVM,"inspiration, motivation"
"Play More, Pray More; Get More, Give More…Live More!",RVM,"inspiration, motivation"
Failure and Success are two sides of the same coin. One does not exist without the other.,Paula Antonia Purpera,"failure, inspirational, motivation, success"
if you know your goal and work for it you will reach the peak,Jounayet Rahman,motivation
"Optimists anticipate problems, welcome them, and challenge them. Thus, eventually they defeat their problems.",RVM,"inspiration, motivation"
"Never give up, but learn to surrender as well",Zain Baloch,"motivation, surrender"
Introspect! Is your life moving forward or just moving like a pendulum?,RVM,"inspiration, motivation"
"Write for a cause,NOT APPLAUSEWrite to express,NOT TO IMPRESS.Writing isn’t just about being noticed…IT'S BEING REMEMBERED.","T.N. Suarez, The Limbo Tree","authors-quotes, famous-quotes, famous-quotes-by-famous-authors, inspiration, inspirations-quotes, motivation, motivational-quotes, writers-life, writers-quotes"
"Instead of trying to understand Life, we must live it. Create a reason to Live and progress on that path every day.",RVM,"inspiration, motivation"
Nothing in this world is Good or Bad. Our thinking makes it so. A knife is good when a surgeon uses it to save a life & bad when a terrorist uses it to kill.,RVM,"inspiration, motivation"
It is better to fail at perfection than it is to succeed at mediocrity.,Eric Robert Morse,"aim, aspiration, goal, inspiration, motivation, perfection"
"I’m happiest when I’m with young people. Their wisdom, grief, and optimism motivates me to work harder – and inspires me to be better, more thoughtful and to move with increased reverence. I find joy in children.",Lateefah Simon,"inspiration, motivation"
"I’m not going to tear you down… If you’re bad-mouthing me, you’re already down.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","bad-mouth, inspiration, life, motivation, rise-above"
Manuscript rejections might tempt you to quit writing or querying. Don't.,"T.N. Suarez, The Limbo Tree","inspirational-quotes, motivation, motivational-quote, writing, writing-advice, writing-life, writing-process, writing-quotes"
"If you don't like the Fruits you are growing, then change the Seeds you are sowing.",RVM,"inspiration, motivation"
"What we get when we turn pro is we find our power. We find our will and our voice and we find our self-respect. We become who we always were but had, until then, been afraid to embrace and live out.","Steven Pressfield, Turning Pro","artists, authors, creativity, motivation, professional"
Self-discovery is life recovery.,Ifeanyi Enoch Onuoha,"coach, goodreads, ifeanyi-enoch-onuoha, inspirational, life, mentor, motivation, quote, recovery, self, wisdom"
"Excerpts from Life, Simplified can be found on my website.","Jeannie Powell, Life, Simplified: More of What You Really Want And Less of What You Don't","motivation, self-help-self-improvement"
"One can be kind,one can be helpful,but it takes a heart and an effort to understand.",Bikash Chaurasiya,"effort, heart, helpful, kind, motivation, motivational, understanding"
"Don't ever forget that life has nothing to do with what you are doing, but has everything to do with what you are being.",Donald Pillai,"inspirational, life, love, motivation, motivational"
"You can cage their wings, you can't cage their spirit.","Sarvesh Jain, The Awakening Wisdom of Life: Probably the best Quotation Book in the world",motivation
"A mindset that understands order, is a mindset that can understand leadership.",Wayne Chirisa,"business-leaders, business-leadership, business-management-training, business-quotes, inspirational-quotes, inspiring, inspiring-quotes, leaders, leadership, leadership-characteristics, leadership-quotes, leadership-styles, leadership-traits, mind, mind-body-spirit, mindset, motivation, motivational, motivational-inspirational, motivational-quotes, order, understand, understanding, understanding-quotes"
"Wake up in the morning and get into each day, living it in a way that will make you happy and gay.",RVM,"inspiration, motivation"
Sometimes God must confine us in order to free us.,Bobby F. Kimbrough Jr.,"god, motivation, religion, self-help"
"There are some writers who sweep us along so strongly in their current of energy--Normal mailer, Tom Wolfe, Toni Morrison, William F. Buckley, Jr., Hunter Thompson, David Foster Wallace, Dave Eggers--that we assume that when they go to work the words just flow. Nobody thinks of the effort they made every morning to turn on the switch. You also have to turn on the switch. Nobody is going to do it for you.","William Zinsser, On Writing Well: The Classic Guide to Writing Nonfiction","motivation, on-writing, on-writing-well, write, writer, writers, writers-life, writes, writing, writing-advice, written, wrote"
"SIMPLICIO: ... You have to [learn to] walk before you can run.SALVIATI: No, you have to have something you want to run toward.","Paul  Lockhart, A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form","inspiration, learning-process, motivation, philosophy-of-education"
Far more than the shield is the Pleasure I get on the field . . . the Joy of the chase is greater than the result of the race.,RVM,"inspiration, motivation"
"When your shoulds finally become musts, that's when you will achieve great change in your life.",Lorri Faye,"inspiration, inspirational, inspirational-quotes, motivation, motivational-quotes, success, success-quotes"
Epic fails are just dramatic pauses to build up intensity of epic awesomeness emerging.,Janna Cachola,"bosslady, empowerment, motivation, success"
"With Time, you can create Money, but with Money you cannot create Time. So Time is more valuable than Money.",RVM,"inspiration, motivation"
"Do it because you WANT to, not just because you HAVE to. When you do what you want, you create an Unstoppable POWER.",RVM,"inspiration, motivation"
"An idea without sacrifice, regardless of grand it might be, will never be anything more than an idea.",Craig D. Lounsbrough,"concept, dream, grand, idea, imagination, imagine, motivation, passion, plan, sacrifice, sacrificing"
Assess your days and reconcile the differences. Repeat steps to success and dispose bad habits.,"Bianca McCormick-Johnson, ""I'm G.O.O.D."":","inspiration, inspirational-quotes, motivation, motivational-quotes"
"Many people are hurt in Life. But the problem is not the hurt. They Curse, Nurse, and Rehearse their hurt instead of Reversing it, and Live miserably.",RVM,"inspiration, motivation"
"I'm saddened by the loss of Black Diamonds that we bury by the thousands every year never knowing the brilliance they possess. I call you my brotherand we embrace with such sincerity while our mother's tears saturate the grounds where our diamonds lay at rest. My question to you, is this innate or hate? We are greater than the current narrative. We must allow the diamonds to shine. May they shine from above.",Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
"There are places and spaces you will never see or know, unless you move NOW!!",Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
How do you achieve excellence? 1. Mindset 2. Discipline 3. Commitment 4. Consistency,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
I was sitting here staring at the trees in my parents yard and wondering - season after season the trees continue to grow no matter what the weather. I guess they are just grounded and rooted and don't concern themselves with the seasons. When are we going to truly get rooted and grounded so that we continue to grow regardless?,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
There are problems and conditions of this world that man nor woman can solve, it requires His grace and mercy.,Bobby F. Kimbrough Jr.
The dream is free - to live it requires HUSTLE.,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
"My thoughts produce emotions which produces action; thus, the action is the outcome of the thought. Show me a man's actions and I can tell you of his thoughts. What are your thoughts?",Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
You can't wait for the race to start to get ready. That's a loss. You must get your mind right before you get to the starting line. Mindset is everything!,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
"Imagine if you were performing at your full potential, the lives you would change - including yours. Just imagine...",Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
A guy who is equipped mentally and educationally doesn't need a confidence check. He is positioned and prepared to GO. Are you?,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
What are you willing to lay down so you can stand up?,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
Are you able to proclaim that you have been through some things and you survived it? You are a survivor. And if you are a survivor you are not a victim. You have to change the language that you give to yourself and then you have to change the conversation that you give to others.,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
What if I was truly my brother's keeper? And what if I really loved my neighbor? And what if it really wasn't about me but about we - where would we be? The possibilities should blow your mind. But since it's not,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
Years ago this was just a place where I was assigned to work. Today looking at this place represents the opportunity that God allowed me to see the beauty of His works. The difference in then and now - I guess our views are a representative of our growth. Thankful.,Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual, strength, survival"
