quote,author,category
I am enduring temporary sufferings to fulfill my dearest dreams.,Lailah Gifty Akita,"challenges-quotes, destiny-and-attitude, dreams, dreams-quotes, endurance, endurance-and-attitude, endure, endure-pain, endured, enduring-hardships, fulfill, fulfilling-life, fulfilling-purpose, fulfilling-your-destiny, fulfilling-your-potential, fulfillment, inspirational-quote, journey, journey-in-life, journey-quotes, journey-to-yourself, my-destiny, my-life, pain, pain-and-gain, pain-and-suffer, problems, problems-in-life, suffering, suffering-quote, sufferings, travel, travel-quotes, troubles"
"Let me put it thus: that from the height of Weissenstein I saw, as it were, my religion. I mean, humility, the fear of death, the terror of height and of distance, the glory of God, the infinite potentiality of reception whence springs that divine thirst of the soul; my aspiration also towards completion, and my confidence in the dual destiny.",Hilaire Belloc,"mountains, nature, travel"
Define your path and travel on this path.,Lailah Gifty Akita,"life-s-journey, life-s-lessons, life-s-purpose, life-struggles, path, paths, paths-of-life, travel, travel-with-laliah-gifty-akita, travel-writing, traveling-alone, travels, travels-reading"
"Leor smiled. “Merci, Monsieur Rusé.”	“De rien.” Jean replied, and then he checked his watch. “Our flight will be leaving soon. Are you ready for that adventure? Can you brave the terrors of second class?”	Leor laughed. “It depends if I get the window seat.","Zechariah Barrett, Beyond Chivalry","airplane, humor, second-class, travel, window-seat"
"History is rich knowledge. In your travel, learn brief history of the place visited.",Lailah Gifty Akita,"historian, historical, history-of-mankind, journey, journey-of-life, journey-to-a-better-you, journey-to-yourself, journeys-in-life, learn, learning-to-read, life-changing, lifelong-education, lifelong-learner, lifelong-reading-quotes, places, places-of-the-world, travel, travel-journal, travel-journey, travel-journey-adventure, travel-quotes, travel-writing, traveler-between-worlds, traveler-s-heart, travelers, travelers-blessing, traveling-alone, your-journey"
"It is better to travel than to arrive. Better, by far, to find your own way than to have someone else choose it for you -- don't you think?","Lesley Howarth, MapHead: No.2","lesley-howarth, maphead-2, travel"
"History is rich knowledge, In your travel, learn the brief history of the place visited. .",Lailah Gifty Akita,"historian, historians, history, history-of-mankind, history-of-philosophy, history-of-places, history-of-the-earth, history-of-the-world, journey, journey-of-life, journey-personal-history, journey-quotes, journey-to-yourself, knoweledge, travel, travel-quotes, travel-writing, traveler-between-worlds, traveler-s-heart, travelers, travelers-blessing, traveling"
"He might never hear of them again in his life. Or there again, he might. That was the joy of travelling. Anything could happen","Lesley Howarth, MapHead: No.2","lesley-howarth, maphead-2, travel"
"In your travel, learn the brief history of the place visited. History is rich knowledge.",Lailah Gifty Akita,"historian, historians, history, history-of-mankind, history-of-philosophy, history-of-places, history-of-the-earth, history-of-the-world, journey, journey-of-life, journey-personal-history, journey-quotes, journey-to-yourself, knoweledge, travel, travel-quotes, travel-writing, traveler-between-worlds, traveler-s-heart, travelers, travelers-blessing, traveling"
"Few of us could speak the other's language, but all of us had by now discovered the lodge's unique 'outside toilet'…which transcended all national barriers. The lodge owner wouldn't let you use it unless you promised to lock yourself in with a special key. Everybody thought this odd, but they understood his concern once inside. The loo was just two parallel blocks of wood laid either side of a big hole in the floor. You went in, squatted down on the blocks, felt the gust of chill air wafting up your nether regions, looked through legs, and watched the bottom fall out of your world for a sheer drop of two thousand feet! The reason for locking the door was obvious. Any unwitting interloper who swung it inwards when you were squatting over that hole was certain to knock you off your perch and straight down it. And that would be a one-way trip to oblivion. With your trousers round your ankles","Frank Kusy, Kevin and I in India","adventure, india, travel"
Some flowers need flames to find their way into this world.,"Cindy Campopiano, Other","memoir, recovery, trauma, travel"
"Here's what I love about travel: strangers get a chance to amaze you. Sometimes a single day can bring a blooming surprise, a simple kindness that opens a chink in the brittle shell of your heart and makes you a different person when you go to sleep--more tender, less jaded--than you were when you woke up.",Tanya Shaffer,travel
"Here's what I love about travel: strangers get a chance to amaze you. Sometimes a single day can bring a blooming surprise, a simple kindness that opens a chink in the brittle shell of your heart and makes you a different person when you go to sleep--more tender less jaded--than you were when you woke up.",Tanya Shaffer,"free-spirits, travel"
"When sharing your news, you might come across some disgruntled parent-folk. You know, the kind who snort and say ruefully, ""If there's anyplace you want to travel to, go now."" Don't let them squelch your joy, dear K: these are the kind of people who never went anywhere before they had babies either.","Beth Ann Fennelly, Great with Child: Letters to a Young Mother","parenting, travel"
The Cubist paintings in the Centre Pompidou in Paris were strange but amazing. The big fat magical cat said they made her eyes hurt.,"Jim  Shanahan, My big fat magical cat goes to France","art, childrens-literature, france, travel"
"For a time, then, we stay. For a time. Till the changes.","Joanne Harris, Chocolat","gypsy, moving, travel"
"Consulting maps can diminish the wanderlust that they awaken,as the act of looking at them can replace the act of travel. But looking at maps is much more than an act of aesthetic replacement. Anyone who opens an atlas wants everything at once, without limits--the whole world. This longing will always be great, far greater than any satisfaction to be had by attaining what is desired. Give me an atlas over a guidebook any day. There is no more poetic book in the world.","Judith Schalansky, Atlas of Remote Islands","arm-chair-travel, atlas, maps, travel, travel-writing, wanderlust"
"Maybe this was why Owen had been so desperate to travel, why she'd longed for it herself without ever really knowing why. It wasn't just that you got to be somewhere else entirely. It was that you got to be someone else entirely, too.","Jennifer E. Smith, The Geography of You and Me",travel
"...the longer she had lived away, the more she realized that nowhere became home… though everywhere had.","Susan Ornbratt, The Particular Appeal of Gillian Pugsley","home, homesickness, travel"
"Not to find one’s way in a city may well be uninteresting and banal. It requires ignorance—nothing more,"" says the twentieth-century philosopher-essayist Walter Benjamin. “But to lose oneself in a city—as one loses oneself in a forest—that calls for quite a different schooling.” To lose yourself: a voluptuous surrender, lost in your arms, lost to the world, utterly immersed in what is present so that its surroundings fade away. In Benjamin’s terms, to be lost is to be fully present, and to be fully present is to be capable of being in uncertainty and mystery. And one does not get lost but loses oneself, with the implication that it is a conscious choice, a chosen surrender, a psychic state achievable through geography.","Rebecca Solnit, A Field Guide to Getting Lost","discovery, self-awareness, travel"
"As a romantic ideal, turbulent, impoverished India could still weave its spell, and the key to it all - the colours, the moods, the scents, the subtle, mysterious light, the poetry, the heightened expectations, the kind of beauty that made your heart miss a beat - well, that remained the monsoon.","Alexander Frater, Chasing the Monsoon","india, monsoon, travel"
"I have no churlish objection to the circumnavigation of the globe, for the purposes of art, of study, and benevolence, so that the man is first domesticated, or does not go abroad with the hope of finding somewhat greater than he knows. He who travels to be amused, or to get somewhat which he does not carry, travels away from himself, and grows old even in youth among old things","Ralph Waldo Emerson, Self-Reliance",travel
"For are we not, all of us, wand'rers and strangers; and do we not, all of us, travel in danger or voyage uncharted seas?","Joan W. Blos, A Gathering of Days: A New England Girl's Journal, 1830-32","children-s-books, travel, voyage"
"A difficult journey is spiritual rewarding.There is a more dependence on God, His supernatural power, grace and divine favour long the travel.",Lailah Gifty Akita,"dependence, dependence-and-attitude, dependence-on-god, dependency, grace, grace-and-favor, grace-divine, grace-draven, grace-of-god, journey, journey-in-life, journey-of-life, journey-personal-history, journey-quotes, journey-to-the-end-of-the-night, journey-to-yourself, journeying, journeys, supernatural, supernatural-powers, travel, travel-quotes, travel-writing, traveler, traveling, traveling-alone, travelling, travels"
Dare to seize all the opportunities on your paths.,Lailah Gifty Akita,"chance-and-time, chances, dare, dare-to-be, dare-to-be-excellent, dare-to-be-great, dare-to-dream, dare-to-win, dare-you, dare-you-to, opportunities, opportunities-in-life, opportunity, opportunity-life, path, path-in-life, paths, paths-of-life, seize, seize-everything-without-regret, seize-the-day, seize-the-moment, travel, travel-writing"
I don't really like surprises. Not big ones anyway. Just having a pack of Revels holds enough of a surprise for me.,"Karl Pilkington, An Idiot Abroad: The Travel Diaries of Karl Pilkington","humour, revels, surprises, travel"
"As long as you know 'to let' means to rent and not a place to pee, you’re all set to travel in the UK. The lifts and the boots and everything else don’t really matter.","Tucker Elliot, The Rainy Season","9-11, education, england, military, students, teaching, travel, united-kingdom"
Make sure your not followed! Don’t go anywhere,"Benny Bellamacina, Philosophical Uplifting Quotes and Poems","humor, philosophy, travel, wisdom"
"I’m not a foreigner because I haven’t been praying to return safely home, I haven’t wasted my time imagining my house, my desk, my side of the bed. I am not a foreigner because we are all travelling, we are all full of the same questions, the same tiredness, the same fears, the same selfishness and the same generosity. I am not a foreigner because, when I asked, I received. When I knocked, the door opened. When I looked, I found.",,"aleph, paolo-coelho, travel"
"Travel opens us up, exposes us to new people and places. New thoughts, new ways of being and a larger feeling of connection. And, the best part is, that it makes us appreciate our home that much more.",Erin Kouvas,"connectedness, connection, travel, travel-quotes"
"The Delta agent saw my itinerary and said, 'You’re flying to Jakarta via Atlanta, Frankfurt, Amsterdam, Bangkok and Kuala Lumpur? You must have really pissed off your travel agent.","Tucker Elliot, The Rainy Season","indonesia, jakarta, travel, vietnam"
"There comes a moment in all travel when you know that you have really started. It may be weeks before you start or weeks after you have started; it is a spiritual emotion, a turning towards the future with an eager heart...","H.V. Morton, In Search Of England","emotion, feeling, journey, start-of-journey, travel"
"I said, “Je parle français.” Indira gave me a weird look. Or a look that said I was weird. Whichever. The point is, I don’t really speak French, but it’s a useful phrase for confusing people you don’t wish to speak with. However, it’s apparently more useful in Europe, where no one enjoys speaking to the French.","Tucker Elliot, The Rainy Season","education, france, french, jakarta, militarytary, terrorism, the-rainy-season, travel"
"Everywhere you travel to, be fully there.",Lailah Gifty Akita,"everywhere, see-the-world, travel, travel-writing, traveler, traveling, travels-reading"
"If you think it's bad now, my friend, wait till we reach a town!' He shook his head and brushed at his tattered, dirty shirtsleeve. 'Do try to remember we're visitors-and not welcome ones-if you should feel moved to reason with anyone.","David Weber, Oath of Swords","caution, foreign, foreigner, foreigners, humor, humours, reason, travel, traveling, unfriendly, visitor"
"Damoder climbed slowly to his feet. 'Buy lot!' he wheedled, 'I am poor man. I sell you cheap. I am bank-Rupert! Apparently the only things that could save him from bank-rupertcy were our dollars.","Frank Kusy, Rupee Millionaires","humour, memoir, travel"
"He was lonely. I could see that. He was working his butt off-and mine, too-in the hope that a million rupees might sort out his sex life. I prayed to Buddha he would be successful. If he didn't get some action soon, I doubted I would, either.","Frank Kusy, Rupee Millionaires","humour, memoir, travel"
"Science rock: The pursuit of science, lead us to the beautiful places of the world.",Lailah Gifty Akita,"beautiful-and-true, beautiful-writing, geography, place, place-of-the-world, places, see-places, see-the-world, travel, travel-writing, traveler, traveling, traveling-alone, travels, travels-reading, world"
"I went to Africa to work. Finding myself and falling in love were not items on the agenda. Those were the stuff of daydreams, borne of long, icy Canadian winters. At age 30, I felt I already knew my priorities, talents and limitations. The year in Africa forced me to question all of these assumptions.",Jacqueline L. Scott,"africa, love, travel, travel-writing"
"The night skyline was stunning. I could see the Monas and Istiqlal Mosque bathed in brilliant white lights and a dozen other places of cultural and historical significance. It’s an amazing, beautiful world we live in … despite Uncle Google’s abysmal view of American schools, the security checkpoints and vehicle inspections that seem to be everywhere, and the need to be vigilant because of the things we do to each other.","Tucker Elliot, The Rainy Season","9-11, education, indonesia, jakarta, military, rainy-season, teaching, terrorism, travel"
I’d see the arrow. I’d think about attitude and perception. Maybe the green arrow on the ceiling is to Muslims as the KJV in the Motel 6 nightstand is to Christians.,"Tucker Elliot, The Rainy Season","9-11, christianity, education, indonesia, islam, jakarta, teaching, terrorism, travel"
Find your path in life and travel on it.,Lailah Gifty Akita,"path, paths, travel, travel-writing, traveler, travelers, traveling, travels, your-destiny, your-heart, your-journey"
"And if travel is like love, it is, in the end, mostly because it’s a heightened state of awareness, in which we are mindful, receptive, in dimmed by familiarity and ready to be transformed. That is why the best trips, like the best love affairs, never really end.",Pico Iyer,"affairs, awareness, best, end, familiar, heightened, love, mindful, receptive, transformation, travel, wanderlust"
"Unlike Muir and Thoreau, McCandless went into the wilderness not primarily to ponder nature or the world at large but, rather, to explore the inner country of his own soul.","Jon Krakauer, Into the Wild","christopher-mccandless, into-the-wild, supertramp, travel, travel-writer"
